1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
3.6.4	saharṣabhā iti vā
3.6.5	ubhābhyāṃ vā
3.6.6	adbhiś ced upākuryus tā ninayed āstāve āpohiṣṭhīyābhiḥ
3.6.7	ṣaṣṭhe 'hani saṃsthite 'bahuvādinaḥ syur na cādhīyīrann ottarasyāhna upākaraṇāt
3.6.8	sarpirmadhubhyām ṛtvijo bhojayed ahīneṣu
3.6.9	anyatareṇa vā
3.6.10	sarpiṣaiva tṛtīyasavane satreṣu
3.6.11	etasyānyatarasmiṃs tryahet grāhyāṇāṃ bhakṣayeyuḥ srutvā pṛṣṭhena
3.6.12	viṣuvadgatayoś ca
3.6.13	triṣṭupacchandasā
3.6.14	pūrvaṃ camasebhyaḥ
3.6.15	anyatra caitasmin kāle yān āhareyuḥ
3.6.16	saha dharmaiḥ sarvatra pṛṣṭhyaḥ syāt
3.6.17	daśamavrate ca
3.6.18	āmīvartastotrīyān ābhiplavikān pṛṣṭhye saṃśayed brāhmaṇācchaṃsinā kāleyarco 'cchāvākena sarvatra yadā pavamāne syātām
3.6.19	sarvatrendrakratuṃ brāhmaṇācchaṃsinordhvaṃ viṣuvataḥ prāg atirātrāt
3.6.20	viśvajiti vairāje dharmān kuryāt
3.6.21	itareṣv api pṛṣṭheṣv ity ācāryamatiḥ
3.6.22	saptame 'hany agner arko 'dhyardheḍaṃ ca somasāma maukṣasya pūrvayoḥ
3.6.23	maukṣasomasāmanī gāyatrasyottarayor agner arkas tisṛṣv iti vā
3.6.24	sākamaśveḍānāṃ saṃkṣārau vyatiharanty eke
3.6.25	surūpakrauñce ekarcayor eke
3.6.26	navamasya jyotiṣṭomaḥ paryāsaḥ
3.6.27	sāptamika ity eke
3.6.28	tasya bṛhatyām araṇye geyāni tṛceṣu pṛṣṭhyaṃ ca
3.6.29	vāsiṣṭham adhyāsyāyām
3.6.30	vaiyaśvaṃ prāgbhargadābhīśavaṃ yaśasaḥ
3.6.31	saptaiva tṛceṣu yair ajāmīty aparam
3.6.32	dīrghatamaso 'rko 'ntyaḥ sāmarājaṃ vā
3.6.33	pṛṣṭhasyottarayor dīrghatamaso 'rko māṇḍavaṃ caiḍaṃ sāmarāje 'ntye
3.7.1	daśamasya bahiṣpavamānaṃ dvitīyaprabhṛtīnāṃ pañcānām ahnām anurūpāḥ prathamāc ca bahiṣpavamānaṃ tan navarcam
3.7.2	anurūpeṣu tṛcā pratilomā ṛcā navarca iti gautamaḥ
3.7.3	sarvatra tṛcā iti dhānañjapyaḥ
3.7.4	yathādhītaṃ navarcam iti śāṇḍilyāyanaḥ
3.7.5	sarvatrarcaḥ pratilomā iti śāṇḍilyaḥ
3.7.6	apratibhām etasminn ahany anuṣṭummātrāṃ kṛtvācakṣīran
3.7.7	jyāyasi chandasi lumpeyur akṣarāṇi kanīyasy abhyasyeyuḥ
3.7.8	huteṣu patnīsaṃyājeṣu gārhapatya udgātā juhuyād upasṛjan dharuṇaṃ mātre mātaraṃ dharuṇo dhayan rāyaṣpoṣam iṣam ūrjam asmāsu dīdharat svāheti pūrvam
3.7.9	svāhākāreṇottarām
3.7.10	āhavanīyaṃ gatvā paścāt tiṣṭhanto 'yaṃ sahohā iti trir udgātā gāyeta nidhanam itarāv anūpeyātām
3.7.11	yajamānasaṃcareṇa gatvā pūrvayā dvārā sadaḥ praviśeyuḥ
3.8.1	yadā adhvaryur upākuryād atha mānasena stuvīran nāyaṃ gāḥ pṛśnir akramīd iti gāyatreṇa pṛthak stotrīyābhyo hiṃkāraṃ trikena stomenāstomayogā yajamānavācanena
3.8.2	pratihāravelāyāṃ pratihartāpānyāt
3.8.3	uttamāṃ prastutyaiṣeti hotāram īkṣeta
3.8.4	sarvam etasmin stotre manasā kuryuḥ
3.8.5	samīkṣaṇena vijñāpayantaḥ
3.8.6	yam adhvaryur bhakṣaṃ prayacchan manyeta tasya manasopahūya kas tvā kaṃ bhakṣayāmīti bhakṣayeyuḥ
3.8.7	brahmodyaṃ vadantīti gāyatrīṃ nirbrūyur iti dhānañjapyaḥ
3.8.8	caturhotāram abhipretyaitad iti gautamaḥ
3.8.9	yathāśvatrirātra iti śāṇḍilyaḥ
3.8.10	etasyāṃ velāyāṃ varān vṛṇīran manasā yān iccheyuḥ
3.8.11	uttarata udgātaudumbarīṃ gṛhṇīyāt paścāt pratihartā dakṣiṇato brahmā purastād itare sarve
3.8.12	atha japeyur iha dhṛtir iha svadhṛtir iha rantir iha ramadhvaṃ mayi dhṛtir mayi svadhṛtir mayi ramo mayi ramadhvam iti vā
3.8.13	ubhau vā
3.8.14	vāgyatā apidhāya dvāre āsīrann ā nakṣatrapravacanāt
3.8.15	prokte nakṣatre pūrvayā dvārā niṣkramya subrahmaṇyāpraṇavair vācaṃ visṛjerann iti dhānañjapyaḥ
3.8.16	śrutvaivāhūyamānāyā iti śāṇḍilyaḥ
3.8.17	varavaraṇavāgyamane yajamāna eva kuryād ahīneṣu
3.8.18	kṛtvetare yathārthaṃ kṛtvetare yathārtham
3.9.1	mahāvratasya pṛṣṭhya upākṛte yuktvā stomaṃ parimādo gāyed iti bhāṇḍitāyanaḥ
3.9.2	pratigṛhya tṛṇe ayuktveti gautamaśāṇḍilyā dhānañjapyaś ca
3.9.3	prāg eva stotropākaraṇād ity eke
3.9.4	dakṣiṇenāgnīdhrīyaṃ gatvottareṇāgniṃ prāṇaprabhṛtibhir upatiṣṭheraṃs tad uktaṃ brāhmaṇena
3.9.5	sarvāṇy udgātā sakṛt sakṛd gāyet
3.9.6	nidhanamitarāv anūpeyātām
3.9.7	api madhye nidhaneṣu
3.9.8	ādyantasrubdheṣu padāya padāya stobhet
3.9.9	tenaiva pratyāvrajya puccham
3.9.10	vratapakṣayoḥ pūrveṇa dakṣiṇaṃ pakṣam
3.9.11	uttaram api kakṣam upatiṣṭheran
3.9.12	viśvedevā iti vasiṣṭhanihavam ūhet
3.9.13	cātvālam upasthāyottareṇāgnīdhrīyaṃ gatvā paścāt tiṣṭhantaḥ
3.9.14	tata eva pratyaṅmukhā iti dhānañjapyaḥ
3.9.15	tasyottamaṃ nidhanam ā tamitor upeyuḥ
3.9.16	pūrveṇa havirdhāne purastāt pratyaṅmukhāḥ
3.9.17	paścād itareṇa
3.9.18	tata evekṣamāṇā mārjālīyaṃ yat dvandveṣu nāke suparṇam iti
3.9.19	yathā havirdhāne tathā sadaḥ
3.9.20	antarvedeḥ pratyaṅmukhā gārhapatyam iti dhānañjayaḥ
3.9.21	tasyaiva paścāt tiṣṭhanta iti śāṇḍilyaḥ
3.9.22	indraprabhṛti pratyakṣaṃ nidhanam upeyuḥ
3.10.1	atha rājānaṃ saṃnāhayet
3.10.2	tasya dvyavarārdhyau rathāv anuyāyinau syātām
3.10.3	pūrveṇa devayajanaṃ saṃnahyerann anye tasmāt
3.10.4	dakṣiṇena pariyāyuḥ
3.10.5	pūrveṇa patnīśālām udgātā gatvā dakṣiṇe vedyante prāñco darbhān āstīrya teṣv enaṃ prāṅmukham upaveśayet
3.10.6	athāsmai varmābhihared anyaṃ vābhiharantam anumantrayeta uttiṣṭha rājan parivarmāsyaś ca yukto ratho vitato daiva ākhaṇo viśāṃ rājā brāhmaṇa edhi gopteti
3.10.7	paścimena pariyāhīty uktvā tenaiva pratyāvrajyottara enaṃ vedyante 'vasthāpya brūyād hastatraṃ baghnīṣvājyam āyudhaṃ kuruṣva trīn iṣūn upakalpayasvāyasmāyān yam eva kaṃca caturtham iti
3.10.8	pratidhanveti brūyāt
3.10.9	taṃ pratidadhānam anumantrayeta vaiṇāvatāya pratidhatsva śaṅkum āpapro 'ṣṭamo teti papradbrahmaṇo guptyai vidhṛtyai dhārayātreti
3.10.10	saṃhatyātiṣṭheti brūyāt
3.10.11	dakṣiṇena rathapathaṃ kṛtvottareṇāgnīdhrīyaṃ pūrvāpare carmaṇo vibadhnīyuḥ
3.10.12	taṃ bruyāt pradakṣiṇaṃ devayajanaṃ parīyāt pūrvaṃ carmāgamaneṣu vidhyer ekaikenottarottary anatipātayan
3.10.13	aparasmā itare yathābhipretam asyeyuḥ
3.10.14	tṛtīyena viddhvodaṅ prayāyāḥ
3.10.15	tadā caturtham iṣuṃ yāṃ diśaṃ manyethās tām asyer gā dṛṣṭvāvatiṣṭhethāḥ
3.10.16	tatra tvā viśrambhayeyuḥ
3.10.17	brāhmaṇam uktvemam
3.10.18	hiṅkāravelāyāṃ kārayer iti
3.10.19	bhūmidundubhim āvrajet
3.11.1	paścād āgnīdhrīyasyārdham antarvedi śvabhrasya khātaṃ syād ardhaṃ bahirvedi
3.11.2	ārṣabheṇottaralomnā carmaṇābhivihitaṃ syāt
3.11.3	tvaṃ vāg asi ye naḥ satre anindiṣu dīkṣāyāṃ śrānta āsi te rāddhiṃ tebhyo dundubhe rāddhim asmabhyam āvadeti parāvada dviṣantaṃ ghorāṃ vācaṃ parāvadāthāsmabhyaṃ sumitriyāṃ vācaṃ dundubhe kalyāṇīṃ kīrtim āvadeti parāvada dviṣato vādyaṃ durhārdo ye viṣūkuhothāsmabhyaṃ puṣṭiṃ rāddhiṃ śriyam āvadundubha ity enam etaiḥ pṛthag āhatya bāladhānenānyaṃ vāghnantam anumantryāpa upaspṛśya paścāt tiṣṭhanto 'gnim upatiṣṭheran namas te gāyatrāya yat te puro yat te śiro namas te rathantarāya yat te dakṣiṇato yat te dakṣiṇaḥ pakṣo namas te bṛhate yat te uttarato yat te uttaraḥ pakṣo namas te yajñāyajñīyāya yat te paścād yat te pucchaṃ namas te vāmadevyāya yat te ātmā yat te madhyam ity etaiḥ pṛthag aṅgāny anvartham
3.11.4	atha samastena tasmai te subhoḥ subhavo bhūyāsma nāmāsi nāma bhūyāsam āvir asyāvir mā kuru savitaḥ pramāsuvayāṃ manuṣyāṇāṃ bhūtau saṃpaśyasi teṣv abhibhūyāsaṃ śriyaṃ mayi dhehīti
3.11.5	upasthāya sadaḥ praviśeyuḥ
3.12.1	aparayā dvāraudumbarīm āsandīmauñjavivānām atihareyuḥ
3.12.2	yajñiyasya vṛkṣasyaudumbarābhāve
3.12.3	muñjābhāve dārbham
3.12.4	prādeśamātrāḥ pādā aranimātrāṇītarāṇy aṅgāni
3.12.5	dakṣiṇenaudumbarīṃ hṛtvā tasyā uttarato nidadhyuḥ
3.12.6	tām uttareṇodgātā gatvā paścād upaviśya bhūmispṛśo 'syāḥ pādān kṛtvā kūrcāv adhastād upohyābhimṛśed bṛhadrathantare te pūrvau pādau śyaitanaudhase aparau vairūpavairāje anūcī śākvararaivate tiraścī ity etaiḥ pṛthag aṅgāny anvartham
3.12.7	vivayanam ālabhyarcaḥ prāñca ātānā yajūṃṣi tiryañcaḥ sāmāny āstāraṇaṃ śrīr upabarhaṇaṃ vākovākyam atīrekā vāravantīyaṃ saṃdhayor ājanam ātmā pratiṣṭhā yajñāyajñīyam iti
3.12.8	tāṃ mukhenorasā bāhubhyām iti spṛṣṭvārohed vasavas tvā gāyatreṇa chandasā rohantu tān anvadhirohāmi rājyāya rudrās tvā traiṣṭubhena chandasā rohantu tān anvadhirohāmi vairājyāyādityās tvā jāgatena chandasā rohantu tān anvadhirohāmi svārājyāya viśve tvā devā anuṣṭubhena chandasā rohantu tān anvadhirohāmi sāmrājyāyeti
3.12.9	athaitair eva devatā udasya rājaśabdaṃ cāmunā tvā chandasā rohāmīty ārohet
3.12.10	vairājapañcamair iti gautamaḥ
3.12.11	caturbhir iti dhānañjapyaḥ
3.12.12	tribhir iti śāṇḍilyaḥ
3.12.13	āruhya japet syonām āsadaṃ sukhadāmāsadaṃ namas te 'stu mā mā hiṃsīr iti
3.12.14	tasminn ārohati kūrcān āroheyuḥ praṣṭī brahmā gṛhapatiḥ
3.12.15	āsandyā vyākhyātaṃ dravyaṃ vāṇasya dravyaṃ vāṇasya
4.1.1	rohitenānaḍuhenottaralomnā carmaṇāpihitaḥ syāt
4.1.2	tasya daśasu paścācchidreṣu daśa daśa tantyo baddhāḥ syur mauñjyo dārbhyo vā
4.1.3	triṣv iti śāṇḍilyaś catus triṃśanmadhyame trayastriṃśatāv abhita iti
4.1.4	purastād ekaikaśas tās traidhaṃ vibhajya bhūr bhuvaḥ svar ity etābhiḥ pṛthag uttarottary udūhet
4.1.5	tam abhimṛśed vado vada vadā vadī vado vadoruḥ pṛthuḥ sugaḥ sugaṃ tvaḥ karmaḥ karaṇaḥ karaḥ karasyur abhīṣāṭ cābhīṣāhī cābhimātihaś cābhimātihā ca sāsahiś ca sahīyāṃś ca sahasvāṃś ca sahamānāś codayāś ca bṛhadvayāś ca savayāś ca bṛhadvayāś caindrīṃ vācaṃ bṛhatīṃ viśvarūpāṃ śatāyuṣīṃ pravada deva vāṇeti
4.1.6	śithilāṃs tantunā yacched ebhir no vāṇa tantubhiḥ śataṃ rāddhīr ihāvahārātsma sarvetāṣmajīvā jyotir aśīmahīti
4.1.7	vāk sarvaṃ manojyotir mā no bhadra iti japitvā vādayed indreṇa tayeṣīkayā vetasaśākhayā ca sapalāśayā mūlataḥ
4.1.8	prāṇāya tvety ūrdhvam ullikhed apānāya tvety avācam
4.1.9	vyānāya tvā vyānāya tveti triḥ saṃlikhyodañcaṃ prohet
4.1.10	brāhmaṇam uktvemam ullikhann āsveti
4.1.11	āhata dundubhīn pravadantu vīṇā iti brūyāt
4.2.1	alābuvīṇāṃ vakrākapiśīrṣṭyau ca pūrvasyāṃ dvāri bahiḥsadasam
4.2.2	vakrākapiśīrṣṭyau dundubhiṃ ca pratimantrayeta yā vakrāyāṃ kapiśīrṣyāṃ dundubhau yac ca vādyaṃ ghoṣo yo mahato mahāraṃs tena no rāddhi māvadeti
4.2.3	mahāvīṇāpi śīlavīṇe cāparasyām antar iti gautamaśāṇḍilyau bahir iti dhānañjapyaḥ
4.2.4	alābuvīṇāpi śīlavīṇe ca pratimantrayetālābuvīṇe 'pi śīlī ca yaṃ mantram adhijagmatus tenedam upagāyatāṃ te sāmamaheṣyata iti
4.2.5	paścimenopagātṝn dve dve ekaikā patnī kāṇḍavīṇāṃ pichorāṃ ca vyatyāsaṃ vādayet
4.2.6	upamukhaṃ pichorāṃ vādanena kāṇḍamayīm
4.2.7	tā apaghāṭilā ity ācakṣate
4.2.8	tāḥ pratimantrayeta yāṃ patny apaghāṭilāṃ mṛdukaṃ vādayiṣyati sārātimapavādhatāṃ dviṣantaṃ taijanitvagiti
4.2.9	sarvam anuvīkṣamāṇo japed ākrandā ulūlayaḥ prakośā yavācaṣṭati sarvā sattrasya sā rāddhis tathedaṃ sāma gīyata iti
4.2.10	japed eva suparṇo 'smi garutmān premāṃ vācaṃ vadiṣyāmi bahu kariṣyantīṃ bahu kariṣyan svargam ayiṣyantīṃ svargam ayiṣyan mām imān yajamānān iti
4.3.1	brāhmaṇo 'bhigaraḥ pūrvasyāṃ sadaso dvāri pratyaṅmukha upaviśet
4.3.2	vṛṣalo 'pagaro 'parasyāṃ prāṅmukhaḥ
4.3.3	sa brūyān nārātsur ime sattriṇa iti
4.3.4	arātsur ity abhigaraḥ
4.3.5	dakṣiṇena mājīlīyam aryo 'ntarvedi dakṣiṇāmukhas tiṣṭhed bahirvedi śūdra udaṅmukhaḥ
4.3.6	aryābhāve yaḥ kaścāryo varṇaḥ
4.3.7	tau śvetaṃ parimaṇḍalaṃ carma vyāyacchetāṃ
4.3.8	śūdraḥ pūrvaḥ
4.3.9	pūrveṇāgnīdhrīyaṃ brahmacāry antarvedy udaṅmukhas tiṣṭhed bahirvedi puṃścalī dakṣīṇāmukhī
4.3.10	sā brūyād duścaritin navakīrṇinn iti
4.3.11	dhik tvājālmipuṃścalī grāmasya mārjani puruṣasya puruṣasya śiśnapraṇejanīti brahmacārī
4.3.12	evam ā tṛtīyaṃ vyatyāsam
4.3.13	sarveṣāṃ karmaṇi niṣṭhite tad evābhigaras trir brūyāt
4.3.14	avasṛjya śūdraḥ pradravet
4.3.15	taṃ tenaivāvakṣiṇuyāt
4.3.16	yathābhipretam itarāṃ brahmacāryy ākrośet
4.3.17	paścimenāgnīdhrīyaṃ bahirvedi pariśrite mithunau saṃbhavetāṃ yau varṇau labheran
4.3.18	gṛhapater dāsyo navān udaharaṇān pūrayitvā pradakṣiṇaṃ mārjālīyaṃ pariyur hai mahā3 idaṃ madhv idaṃ madhv iti vadatyaḥ pañcāvarārdhyāḥ pañcaśataṃ parārdhyāḥ pañcaviṃśatiḥ sāṃpratāḥ
4.3.19	sarvāsu sraktiṣu dundubhīn ābadhnīyuḥ
4.3.20	uttarottari vāco vyāhārayeyur yāvatīr adhigaccheyuḥ
4.3.21	ghoṣāṃś ca
4.3.22	hiṃkāram anv abhigaraḥ prabhṛtayaḥ kṛtvā yathārthaṃ syuḥ
4.3.23	ā stotrāntāt kumbhinyaḥ sarve ca ghoṣāḥ
4.4.1	pañcaviṃśe caturviṃśasyottame paryāye paricarāyām āvaped iti gautamaḥ
4.4.2	āvāpasthāna iti dhānañjapyaḥ
4.4.3	prathamasyāvāpasthāna iti śāṇḍilyaḥ
4.4.4	caturviṃśena vā stutvā madhyamām ahiṃkṛtāṃ tṛcasya prastuyāt
4.4.5	sa āskando nāma
4.4.6	tan na kuryād iti śāṇḍilyāyanaḥ
4.4.7	uttamāyāṃ stotrīyāyām astutāyāṃ pādāv upāvaharet sahanidhanena bhūmau pratiṣṭhāpayet
4.4.8	āhriyamāṇe bhakṣe pratilomair ārohaṇīyair avaruhya japen maho dyauḥ pṛthivī ca na imaṃ yajñaṃ mimikṣatāṃ pipṛtān no bharīmabhir iti
4.4.9	adha āsīnāḥ śeṣeṇa stuvīran
4.4.10	udayanīye 'tirātre saṃsthite 'vabhṛtham abhyaveyur anupamajjantaḥ
4.4.11	pāṇibhis tu saṃdhāveran
4.4.12	yasyātra patnī syāt pṛṣṭhaṃ tayā vyuddhāvayet
4.4.13	tān unnetodānayet
4.4.14	udetya gṛhapatiḥ somopanahanaṃ paridadhīta
4.4.15	vastrāṇītare
4.4.16	abhyukṣaṇaprabhṛti samāpayeyuḥ
4.4.17	yeneto gaccheyur anyena pratyānavreyuḥ
4.4.18	anūbandhyavapāyāṃ hatāyāṃ dakṣiṇe vedyante keśaśmaśrūṇi vāpayeran
4.4.19	tasmin saṃsthite prāñca udañco vā gatvā pṛthagudavasānīyābhir iṣṭibhir āhitāgnayo yajñeran
4.4.20	gṛhapatiṃ yajamānam anāhitāgnaya upāsīran
4.4.21	taddevatyaiḥ sthālīpākair yajerann iti dhānañjapyaḥ
4.4.22	saṃvatsaraṃ saṃvaseyuḥ
4.4.23	dvādaśarātramahorātrau vā
4.4.24	yāvad vā sunuyur yavad vā sunuyuḥ
4.5.1	athāto gavāmayanavikalpāḥ
4.5.2	sarvaṃ jyotiṣṭomenaike
4.5.3	atirātracaturviṃśanavāhavratātirātrā vā yathāsthānaṃ syuḥ śeṣo jyotiṣṭomena
4.5.4	atra vā goāyuṣī pṛṣṭhyābhiplavau daśarātram ity upāharet sa saṃvatsarapravarhaḥ
4.5.5	śaṅkhāhataṃ ca
4.5.6	nānāhobhir vayaṃ kalpayāmo yathaitad brāhmaṇam
4.5.7	atirātram ubhayasāmānaṃ kurvann āndhīgavād uttare udalabṛhatī ṣoḍaśimāṃś ced audalasthāne nānadam
4.5.8	pūrvo bṛhataḥ sāmatṛcaḥ
4.5.9	caturviṃśam arathantaram eke
4.5.10	rathantarapṛṣṭhaṃ vā bṛhadanuṣṭupkam
4.5.11	agniṣṭomasaṃsthaṃ cet triṃśāny ājyāni ṣaṭtriṃśāni pṛṣṭhāni
4.5.12	ṣaṭtriṃśāni vā hotṛkasāmāni
4.5.13	pṛṣṭhānāṃ vāṣṭācatvāriṃśāni
4.5.14	sarvāṇi vā triṃśāni stotrāṇi
4.5.15	vyatyāsaṃ vā triṇavatrayastriṃśau
4.5.16	etad antarukthyam
4.5.17	abhiplavaṃ svarasāmnaś ca jyotiṣṭomatantra eke kalpayanti
4.5.18	tathā satāṃ śāṭyāyaninaḥ ṣaḍahavibhaktīr anukalpayanti
4.5.19	dvividham abhiplavam eka upavatyagriyavatī ca vyatyāsaṃ pratipadau rāthantarabārhatāni cājyāni
4.5.20	ājyapratipadāvauśanakāve antye pārthayāme vā bārhatānāṃ svayonyabhīvartto rathantarapṛṣṭheṣu śyaitarkṣu bṛhatpṛṣṭheṣu
4.5.21	vyūḍhaṃ pṛṣṭhyam eke
4.5.22	tasya samūḍhāt prathamasyāhno bahiṣpavamānam
4.5.23	samūḍham eke rathantarabṛhatpṛṣṭham
4.5.24	nānāpṛṣṭhe cottare caturahe rathantarabṛhatī vyatyāsaṃ pavamāneṣu bṛhatīṣu rathantaram anuṣṭupsu bṛhate dvitīye
4.5.25	bṛhaduttamaṃ samūḍhe
4.5.26	āṣkāraṇidhanāt pūrvaṃ kaulmalabarhiṣam
4.5.27	āndhīgavācchyāvāśvam
4.5.28	upottamaṃ samūḍhe
4.6.1	ānūpopakramā bṛhato pañcame
4.6.2	mānavāt pūrvaṃ hārāyaṇam
4.6.3	madhuścyunnidhanād ākūpāram
4.6.4	upottamaṃ samūḍhe
4.6.5	bṛhataḥ pūrve traya ekarcaḥ
4.6.6	rathantarād uttare
4.6.7	ṣaṣṭhe ca bṛhato vyūḍhe
4.6.8	nityau ca śaśakaṇā tṛtīye pṛṣṭhye
4.6.9	abhīvarttakāleye bṛhatīṣv anukalpayed iti gautamaḥ
4.6.10	neti dhānañjapyaḥ
4.6.11	vyūḍhaṃ nānukalpayed iti śāṇḍilyāyanaḥ
4.6.12	ekaviṃśatyahakāriṇa upariṣṭād abhijitaḥ pṛṣṭhyam upayanti prāk ca viśvajitaḥ svarasāmnaś cokthyān
4.6.13	abhijidviśvajitau vyatiharanty eke
4.6.14	abhijito rathantarapṛṣṭhasya rāthantarī pratipaddhotur ājyaṃ cābhi vāyum ity auśanaṃ jyotiṣṭomaṃ paraṃ sujñānam uṣṇihi śyāvāśvāt pūrve gaurīvitabṛhatoḥ
4.6.15	svayonino rathantarabṛhatī svarasāmasv eke
4.6.16	svarapṛṣṭhāś cet svārasāmikeṣu pṛṣṭhastotrīyeṣu yathāsvaṃ svārāṇi cārbhavāntyāni haigatagautamayoḥ sthāne rathantaram antarikṣasya gautamaṃ svarasya bṛhaddvitīye nityaṃ ca sāmatṛcaḥ
4.6.17	ūdalatvāṣṭrīsāmnoruddhāraḥ
4.6.18	viṣuvato divaike prātaranuvākam upākurvanti
4.6.19	bahir asyaike bahiṣpavamānena stuvate
4.6.20	agnir indrāyopāsmai pavasva vāca iti stotrīyaṃ śuṅgāḥ
4.6.21	vāta āvātv iti māṣaśarāvayaḥ
4.6.22	yajñāyajñīyabhāse vyatiharanty eke
4.6.23	baṇ mahāṁ asi sūryendram iddevatātaye śrāyanta iva sūryam iti mahādivākīrtyastotrīyā vikalpate
4.7.1	kakubuṣṇihāv uddharati pipīlikamadhyāṁ śyāvāśvavikarṇagaurīvitāndhīgavaudalabhāsāny anuṣṭubhy audalasthāne vā vāṅnidhanaṃ krauñcam araṇye geye tṛcayor vratāt pare
4.7.2	viśvajiti yajñāyajñīyabṛhatī vyatiharanty eke
4.7.3	bṛhatpṛṣṭhaś cet tṛtīyāt sāhasrāt prātaḥsavanaṃ kāleyasthāne samantam ābhijitāni pṛṣṭhānīndrakratau śyaitāḥ kakubuṣṇihāv uddharati pipīlikamadhyā anuṣṭupprabhṛti vratāt
4.7.4	uttare pakṣasyayanavikalpāḥ
4.7.5	abhiplavapṛṣṭhyān pratilomān upayanty aharāvartakāriṇaḥ
4.7.6	pṛṣṭhyābhiplavān anulomān māsāvartakāriṇaḥ
4.7.7	goāyuṣī ca vipariharanti
4.7.8	uttamaṃ saṃbhāryaṃ kurvan saptamān māsān pṛṣṭhyābhilavān uddharet pañcāyanamāsān kṛtvā daśarātramiśrād abhiplavam uddharret
4.7.9	tathā sati pūrve pakṣasi vikalpyaḥ
4.7.10	ṣaṣṭhād abhiplavapṛṣṭhān uddhṛtya caturviṃśād uttarān kuryāt
4.7.11	samau pakṣau cikīrṣan pañcāyanamāsān kṛtvā daśarātramiśraṃ māsam uddharet pañcadaśau pakṣau vratasyāparimātkaṃ bṛhatpṛṣṭhaṃ viśvajitam
4.7.12	viśvajita upariṣṭād āyuṣam eka upayanti
4.7.13	tathā sati goāyuṣor aikāhike bṛhatyau
4.7.14	daśarātram eka āvartayanti
4.7.15	tasmād vrataṃ yadā paraṃ vratānte mānasaṃ sāṃvargyajitā gotamāḥ
4.8.1	jyotiṣām ayanavikalpāḥ
4.8.2	tatra yadādito 'ntatas tadūrdhvaṃ viṣuvataḥ
4.8.3	māsi māsy ādyasyābhiplavasya sthāne trikadrukāḥ
4.8.4	sa ṣaṭtriṃśadūno nākṣatraḥ saptaviṃśino hi māsāḥ
4.8.5	ṣaṣṭhādyasyābhiplavasya sthāne jyotirgauś ca jyotir evāvṛtte sa navono nākṣatra eva trayodaśī
4.8.6	yugmamāseṣv ādyasyābhiplavasya sthāne tatpañcāhaḥ sa ṣaḍūnaś cāndramasaḥ
4.8.7	ṣaṣṭhādau trikadrukān abhiplavaṃ copadadhyāt so 'ṣṭādaśādhikaḥ paurṇamāsī prasavas tairyagayanika ādityasya
4.8.8	utsarjanāni māsi māsi
4.8.9	yathānta evamāvṛttānām ādiḥ
4.8.10	pūrveṣv abhiplaveṣu ṣaṣṭham ahar ukthyaṃ kṛtvāgniṣṭomam uttame
4.8.11	tadvaikatrikastomam
4.8.12	asṛkṣateti bahiṣpavamānaṃ gāyatraṃ gāyatryām āśvam aiḍaṃ bṛhatyāṃ goṣṭho vāyāruceti gāyatrapārśvam ārbhavaḥ
4.8.13	savanavidhaṃ paśuṃ kurvann uttamam abhiplavapañcāhaṃ kṛtvā ṣaṣṭhasthāne savanavidhaḥ paśuḥ
4.8.14	prathamaṃ cābhiplavaṃ pañcāhaṃ kṛtvā māsānte savanavidhaḥ paśuḥ
4.8.15	sarvān ūnān eke prathamam abhiplavapañcāhaṃ kuryuḥ
4.8.16	ahanī vā samasyeyur abhiplavapṛṣṭhyayoḥ sānnipātike
4.8.17	abhiplavayor uttame
4.8.18	tathā saty ekādaśyāṃ pūrvapakṣasya dīkṣitvā trayodaśadīkṣāḥ kurvīran
4.8.19	saptadaśa vā
4.8.20	vyatyāsaṃ vā pūrṇā nānūnapūrṇā nāvṛttācchālaṅkāyaninaḥ
4.8.21	ekāṣṭakādīkṣiṇa upasargiṇas te tūṣṇīm ekatriṃśam ahar āsīran
4.8.22	savanavidhena vā paśunā yajñeran
4.8.23	adhvaryubahvṛcaiḥ samayaṃ kṛtvā dīkṣerann evam avilāpo bhavatīti bhavatīti
4.9.1	sarvatra brahmā dakṣiṇata udaṅmukhaḥ kuryāddhomebhyo 'nyat
4.9.2	pākayajñā ity ācakṣata ekāgnau yajñān
4.9.3	teṣāṃ hoṣyatsu tūṣṇīm upaviśeddhute yathārthaṃ syāt
4.9.4	śūlagave ca balīn hriyamāṇān anugacchen nidhīyamānānāṃ dakṣiṇataḥ sthitvā nihiteṣv apa upaspṛśyānapekṣaṃ pratyāvrajet
4.9.5	tūṣṇīṃ pākayajñe dakṣiṇām om iti vā pratigṛhṇīyāt
4.9.6	paśur eva paśor dakṣiṇā pūrṇapātraṃ sthālīpākasya
4.9.7	ubhayor vā yathotsāham
4.9.8	karmādiṣu sarveṣu adhvaryusaṃpraiṣam āgamayet
4.9.9	pūrvayā ca dvārānādeśe praviśet
4.9.10	agnyādheye dakṣiṇayā dvārā prapadya cātuṣpraśyaṃ nirvapsyatsu tūṣṇīm upaviśet
4.9.11	nirupte yathārthaṃ syāt
4.9.12	tad uddhariṣyatsv evam eva
